name,bio,summary,area,profession,nationality,x,y
"nagar lai , 黎拿加","nagar lai is an educator , and is director of overseas division , south china university of technology nc and visiting professor of numerous universities . he formed the institute of supply chain management and the china business manager association . he was the head of the principal examiners alliance , cambridge university international examiner syndicate for china since 2003 and founding vice-president for the hong kong continuing education development alliance , in which nearly all the major business-related professional associations in hong kong are represented . nagar lai is the founding member of the hong kong baptist university . foundation , a hong kong government funded university in hong kong . nagar lai is also the honorary education advisor of glorious china association , a charity organisation for servicing the poor people and honor the achievements of chinese . nagar becomes honor advisor to cambodia deputy prime minister -- academic on 2010 . religion: pagan | birth_place: mainland china | birth_date: yes 1959 | residence: hong kong special administrative region | name: nagar lai 黎拿加 | occupation: marketing director educator","nagar lai is an educator and marketing director, serving as director of the overseas division at South China University of Technology NC and visiting professor of numerous universities. He formed the Institute of Supply Chain Management and the China Business Manager Association. He was the head of the principal examiners alliance for Cambridge University International Examiner Syndicate for China since 2003 and founding vice-president for the Hong Kong Continuing Education Development Alliance, representing nearly all the major business-related professional associations in Hong Kong. nagar lai is the founding member of the Hong Kong Baptist University Foundation, a Hong Kong government-funded university in Hong Kong. He is also the honorary education advisor of Glorious China Association, a charity organization for servicing the poor people and honoring the achievements of Chinese. nagar lai became honor advisor to Cambodia's deputy prime minister -- academic in 2010. He was born in mainland China in 1959 and resides in Hong Kong Special Administrative Region.",business & industry,marketing director,chinese,4.779459,8.346276
joe howarth,"joe howarth is a retired english soccer defender who played professionally in the american soccer league and major indoor soccer league . howarth attended suny oneonta where he was the first four-year captain of the soccer team . he was a 1971 and 1973 honorable mention all american and four-time all ny state . he was later inducted into the school 's athletic hall of fame . after graduating with a bachelor 's degree in psychology in 1974 , he was drafted by the philadelphia atoms of the north american soccer league and the new jersey brewers of the american soccer league . he played three years for the new jersey brewers . in 1976 he signed for the california sunshine of the asl and played for three years during the summer seasons . in 1979 , he signed with the wichita wings of the major indoor soccer league and remained with them until 1982 . he played for the cleveland cobras of the asl in 1980 . during his professional career , he served as the community relations director and camp director for each of the teams for which he played . he was the vice president of marketing and operations and tv and radio color commentator for the wings . in 1990 , he became the wings ' assistant general manager . birth_place: london england | position: defender | birth_date: 19 december 1954","joe howarth is a retired english soccer defender who played professionally in the american soccer league and major indoor soccer league. howarth attended suny oneonta where he was the first four-year captain of the soccer team. he was a 1971 and 1973 honorable mention all american and four-time all ny state. he was later inducted into the school's athletic hall of fame. after graduating with a bachelor's degree in psychology in 1974, he was drafted by the philadelphia atoms of the north american soccer league and the new jersey brewers of the american soccer league. he played three years for the new jersey brewers. in 1976 he signed for the california sunshine of the asl and played for three years during the summer seasons. in 1979, he signed with the wichita wings of the major indoor soccer league and remained with them until 1982. he played for the cleveland cobras of the asl in 1980. during his professional career, he served as the community relations director and camp director for each of the teams for which he played. he was the vice president of marketing and operations and tv and radio color commentator for the wings. in 1990, he became the wings' assistant general manager.",sports,soccer defender,english,10.828138,7.0330677
the immediate,"the immediate were an avant-garde irish rock quartet , based in malahide . they made a considerable impact on the irish music scene despite releasing only one album during the span of their association together . the album was `` in towers and clouds '' . it received primarily positive critical feedback and was nominated for the choice music prize for irish album of the year 2006 . alongside their sole album , several extended plays and singles were also released by the band . they split suddenly in may 2007 , citing `` existential differences '' . the final line-up of the band consisted of david hedderman , conor o'brien , peter toomey and barra heavey . the band was known for swapping instruments regularly throughout sets . associated_acts: villagers | background: group_or_band | genre: indie krautrock neo-new wave rock | origin: malahide dublin ireland","the immediate were an avant-garde irish rock quartet, based in malahide. they made a considerable impact on the irish music scene despite releasing only one album during the span of their association together. the album was `` in towers and clouds '' and received primarily positive critical feedback, being nominated for the choice music prize for irish album of the year 2006. alongside their sole album, several extended plays and singles were also released by the band. they split suddenly in may 2007, citing `` existential differences ''.",arts & entertainment,musician,irish,6.7600327,5.9252815
mike bernier,"mike bernier is a canadian politician , who was elected to the legislative assembly of british columbia in the 2013 provincial election . he represents the electoral district of peace river south as a member of the british columbia liberal party . in december 2014 , he was appointed as parliamentary secretary for energy literacy and the environment for the minister of environment . on 30 july , 2015 , he was chosen to be minister of education in british columbia . before being elected provincially , he was served as a city councillor and then the mayor of dawson creek , bc . he previously worked for 20 years in the natural gas industry . birth_place: north vancouver british columbia | party: bc liberals | office: minister of education for british columbia | birth_date: 1968 | residence: dawson creek","mike bernier is a canadian politician, who was elected to the legislative assembly of british columbia in the 2013 provincial election. He represents the electoral district of peace river south as a member of the british columbia liberal party. In December 2014, he was appointed as parliamentary secretary for energy literacy and the environment for the minister of environment. On 30 July, 2015, he was chosen to be minister of education in british columbia. Before being elected provincially, he was served as a city councillor and then the mayor of dawson creek, bc. He previously worked for 20 years in the natural gas industry.",politics & law,politician,canadian,6.8097954,11.678165
jack condon,"john joseph ` jack ' condon was a former male tennis player from south africa . in 1924 condon and his compatriot partner ivie richardson competed in the men 's doubles event at the 1924 summer olympics in paris and reached the semifinal , defeating the american team of r. norris williams and watson washburn in the quarterfinal . in the semifinal they were defeated in four sets by the french team of jacques brugnon and henri cochet and in the bronze medal match lost in straight sets to rené lacoste and jean borotra . condon won the singles title of the south african championships in 1926 , defeating compatriot cecil blackbeard in three straight sets , and was a finalist in 1923 , losing to louis raymond . in 1927 and 1933 he played in five ties for the south african davis cup team . the best team result during that period was reaching the semifinal of the european zone in 1927 against france . south africa lost the semifinal , played at devonshire park in eastbourne , england 0 -- 5 against the french team consisting of the famous four musketeers lacoste , borotra , cochet and brugnon . condon had a davis cup match record of six wins vs. five losses . country: rsa 1928 south africa | death_date: 01 january 1967 | birth_place: johannesburg south africa | birth_date: 09 september 1903","John Joseph `Jack' Condon was a former male tennis player from South Africa. In 1924, Condon and his compatriot partner Ivie Richardson competed in the men's doubles event at the 1924 Summer Olympics in Paris and reached the semifinal, defeating the American team of R. Norris Williams and Watson Washburn in the quarterfinal. In the semifinal they were defeated in four sets by the French team of Jacques Brugnon and Henri Cochet and in the bronze medal match lost in straight sets to René Lacoste and Jean Borotra. Condon won the singles title of the South African Championships in 1926, defeating compatriot Cecil Blackbeard in three straight sets, and was a finalist in 1923, losing to Louis Raymond. In 1927 and 1933 he played in five ties for the South African Davis Cup team. The best team result during that period was reaching the semifinal of the European zone in 1927 against France. South Africa lost the semifinal, played at Devonshire Park in Eastbourne, England 0--5 against the French team consisting of the famous four musketeers Lacoste, Borotra, Cochet and Brugnon. Condon had a Davis Cup match record of six wins vs. five losses. Condon was born on September 9, 1903, in Johannesburg, South Africa, and died on January 1, 1967. He is known for his tennis career and his participation in the 1924 Summer Olympics.",sports,tennis player,south african,10.217126,8.328537
kajol,"kajol devgan , known mononymously as kajol , is an indian film actress who predominantly works in hindi cinema . she has received six filmfare awards from eleven nominations , and along with her late aunt nutan , holds the record for most best actress wins at filmfare , with five . in 2011 , the government of india awarded her with the padma shri , the fourth highest civilian award of the country . born to actress tanuja and film director shomu mukherjee , kajol made her acting debut with `` bekhudi '' while still in school . she quit her studies to pursue acting , and had her first commercial success with the 1993 thriller `` baazigar '' . she subsequently earned wide public recognition for playing leading roles in several blockbuster family dramas , including `` dilwale dulhania le jayenge '' , `` kuch kuch hota hai '' , and `` kabhi khushi kabhie gham ... '' . she earned critical appreciation for playing against type in the 1997 mystery film '' '' and the 1998 psychological thriller `` dushman '' . following a sabbatical from full-time acting in 2001 , kajol returned to film with the 2006 romantic thriller , `` fanaa '' . she continued working infrequently through the rest of the decade , and earned critical acclaim for her work in `` u me aur hum '' and `` my name is khan '' . she , thus , established herself as one of india 's most successful female actors . kajol is a social activist and is noted for her work with widows and children , for which she received the karmaveer puraskaar in 2008 . she has featured as a talent judge for zee tv 's reality show , `` rock-n-roll family '' and holds a managerial position at devgn entertainment and software . kajol has been in a relationship with actor ajay devgan since 1995 . in 1999 , they married , and she gave birth to their daughter , nysa , in 2003 and their son , yug , in 2010 . children: 2 | birth_place: mumbai maharashtra india | parents: shomu mukherjee tanuja | birth_date: 5 august 1974","{   ""summary"": ""kajol devgan , known mononymously as kajol , is an indian film actress who predominantly works in hindi cinema . she has received six filmfare awards from eleven nominations , and along with her late aunt nutan , holds the record for most best actress wins at filmfare , with five . in 2011 , the government of india awarded her with the padma shri , the fourth highest civilian award of the country . born to actress tanuja and film director shomu mukherjee , kajol made her acting debut with `` bekhudi '' while still in school . she quit her studies to pursue acting , and had her first commercial success with the 1993 thriller `` baazigar '' . she subsequently earned wide public recognition for playing leading roles in several blockbuster family dramas , including `` dilwale dulhania le jayenge '' , `` kuch kuch hota hai '' , and `` kabhi khushi kabhie gham ... '' . she earned critical appreciation for playing against type in the 1997 mystery film '' '' and the 1998 psychological thriller `` dushman '' . following a sabbatical from full-time acting in 2001 , kajol returned to film with the 2006 romantic thriller , `` fanaa '' . she continued working infrequently through the rest of the decade , and earned critical acclaim for her work in `` u me aur hum '' and `` my name is khan '' . she , thus , established herself as one of india 's most successful female actors . kajol is a social activist and is noted for her work with widows and children , for which she received the karmaveer puraskaar in 200",other,unknown,unknown,4.1011415,7.6250687
john prior,"john david prior is an australian musician , composer and producer recognized for his work with matt finish , adrian belew , mick taylor , roy buchanan , champion jack dupree , new theatre , coca-cola , `` the great outdoors '' , iota , wicked beat sound system , kevin borich and dale barlow . sydney morning herald reviewer john shand wrote : `` prior was a nexus of energy , fun and accuracy '' performing with adrian belew . john is the owner and director of mammal music pty ltd audio/video production company and unity gain studios , where he has composed and produced albums for many independent artists including the aria award winning `` tibetan prayer '' , aria award nominated `` the hipbone connection '' charts and aria award nominated `` the story of abbey '' . he has also produced a number of works for film , television , theatre and advertising , gaining an australian guild of screen composers nomination for orchestral composition and production . birth_date: 22 july 1960 | instrument: drums guitar percussion ocarina computer piano synthesizer guitar bass | background: non_vocal_instrumentalist | genre: rock soul reggae blues orchestral world electronica progressive rock fusion funk | occupation: musician promoter composer producer graphic artist","john prior is an australian musician, composer, and producer recognized for his work with matt finish, adrian belew, mick taylor, roy buchanan, champion jack dupree, new theatre, coca-cola, the great outdoors, iota, wicked beat sound system, kevin borich, and dale barlow. He has composed and produced albums for many independent artists, including the aria award-winning 'tibetan prayer', the aria award-nominated 'the hipbone connection' charts, and the aria award-nominated 'the story of abbey'. He has also produced works for film, television, theatre, and advertising, gaining an australian guild of screen composers nomination for orchestral composition and production. John is the owner and director of mammal music pty ltd audio/video production company and unity gain studios.",arts & entertainment,musician,australian,6.586706,6.9044237
bani basu,"bani basu is a bengali indian author , essayist , critic and poet . she was educated at the well-known scottish church college and at the university of calcutta . she began her career as a novelist with the publication of `` janmabhoomi matribhoomi '' . a prolific writer , her novels have been regularly published in `` desh '' , the premier literary journal of bengal . her major works include `` swet patharer thaala '' , `` ekushe paa '' , `` maitreya jataka '' , `` gandharvi '' , `` pancham purush '' and `` ashtam garbha '' . she was awarded the tarashankar award for `` antarghaat '' , and the ananda purashkar for `` maitreya jataka '' . she is also the recipient of the sushila devi birla award and the sahitya setu puraskar . she translates extensively into bangla and writes essays , short stories and poetry . bani basu has been conferred upon sahitya academy award 2010 , one of india 's highest literary awards , for her contribution to bengali literature . the awards ceremony was held on 15 february 2011 at new delhi . birth_date: 11 march 1939","bani basu is a bengali indian author, essayist, critic, and poet. She was educated at the well-known Scottish Church College and at the University of Calcutta. She began her career as a novelist with the publication of 'Janmabhoomi Matribhoomi'. A prolific writer, her novels have been regularly published in 'Desh', the premier literary journal of Bengal. Her major works include 'Swet Patharer Thaala', 'Ekushe Paa', 'Maitreya Jataka', 'Gandharvi', 'Pancham Purush', and 'Ashtam Garbha'. She was awarded the Tarashankar Award for 'Antarghaat', and the Ananda Purashkar for 'Maitreya Jataka'. She is also the recipient of the Sushila Devi Birla Award and the Sahitya Setu Puraskar. She translates extensively into Bangla and writes essays, short stories, and poetry. Bani Basu has been conferred upon the Sahitya Academy Award 2010, one of India's highest literary awards, for her contribution to Bengali literature. The awards ceremony was held on 15 February 2011 at New Delhi. She was born on 11 March 1939.",arts & entertainment,author,indian,4.0725646,7.7601805
frank gagliardi,"frank gagliardi was an american jazz drummer and percussionist , big band composer , arranger , director , and professor . he was the creator and director of the unlv jazz ensemble from 1974 until 1996 . prior to that , he worked as the drummer and percussionist at the sands hotel , accompanying such notable performers as frank sinatra , dean martin , sammy davis , jr. , patti page , lena horne , steve lawrence , eydie gorme , joe williams , marlena shaw and joey bishop among many others . associated_acts: unlv sinatra dean martin sammy davis jr. jazz patti page lena horne steve lawrence eydie ensemble gorme joe williams joey bishop denver symphony orchestra frank | death_date: 16 february 2011 | birth_place: denver co usa | background: non_vocal_instrumentalist | birth_date: 16 november 1931 | instrument: drums percussion | genre: big band jazz | birth_name: frank louis gagliardi","frank gagliardi was an american jazz drummer and percussionist, big band composer, arranger, director, and professor. he was the creator and director of the unlv jazz ensemble from 1974 until 1996. prior to that, he worked as the drummer and percussionist at the sands hotel, accompanying such notable performers as frank sinatra, dean martin, sammy davis jr., patti page, lena horne, steve lawrence, eydie gorme, joe williams, marlena shaw and joey bishop among many others. he passed away on february 16, 2011.",arts & entertainment,drummer,american,7.222149,6.068268
jussi lampi,"jussi lampi is a finnish musician and long-time actor . lampi has appeared in many films and tv shows , including `` v2 - jäätynyt enkeli '' , `` matti '' , `` pelikaanimies '' , `` rölli ja metsänhenki '' , `` ansa ja oiva '' and `` ruusun aika '' . it is believed that lampi started his recording career in the band bodyguards . lampi has played and is still playing in the band pink flamingos since 1993 . the band has published one album , `` pink flamingos '' , through strawberry records . currently lampi plays the drums and is a background singer in timo rautiainen 's band . lampi is tall . lampi has also worked as a voice actor in the finnish dubs of `` monsters , inc. '' , `` the wild '' , the first `` pokémon '' film as mewtwo , and `` finding nemo '' . lampi 's daughter was mandi lampi , a former famous child actor who died at only 19 years of age in 27 february 2008 . children: mandi lampi | birth_place: lappajärvi finland | birth_date: 9 february 1961","jussi lampi is a finnish musician and long-time actor. lampi has appeared in many films and tv shows, including v2 - jäätynyt enkeli, Matti, pelikaanimies, rölli ja metsänhenki, ansa ja oiva, and ruusun aika. it is believed that lampi started his recording career in the band bodyguards. lampi has played and is still playing in the band pink flamingos since 1993. the band has published one album, pink flamingos, through strawberry records. currently lampi plays the drums and is a background singer in timo rautiainen's band. lampi is tall. lampi has also worked as a voice actor in the finnish dubs of monsters, inc., the wild, the first pokémon film as mewtwo, and finding nemo. lampi's daughter was mandi lampi, a former famous child actor who died at only 19 years of age in 27 february 2008. lampi was born in lappajärvi, finland, on 9 february 1961.",arts & entertainment,actor,finnish,7.3554163,7.2590237
